user_id,ad_id,click,time_of_day,device,ad_category,price,text_feature
52,34,1,morning,mobile,tech,2.2680279900193057,new
93,45,0,morning,desktop,sports,0.6289359240994453,new
15,6,1,night,desktop,food,3.1246357654065053,offer
72,37,0,morning,tablet,tech,0.5508614146506011,discount
61,33,1,evening,desktop,food,4.043173811671728,new
21,22,0,evening,mobile,sports,1.8789477021651722,discount
83,21,1,evening,tablet,tech,0.6811610135415445,discount
87,6,0,evening,tablet,food,3.14758499442419,sale
75,6,0,morning,mobile,food,2.289579864948746,offer
75,48,0,evening,tablet,fashion,4.882101860107173,offer
88,4,0,morning,desktop,fashion,2.94889398126666,sale
24,30,0,night,desktop,fashion,1.7385763146665374,sale
3,11,0,evening,mobile,tech,3.6924748908528864,discount
22,30,0,afternoon,desktop,sports,1.721714011442201,new
53,31,0,evening,mobile,sports,4.569094811334043,offer
2,24,1,evening,mobile,fashion,2.1862488672831937,new
88,9,0,morning,desktop,fashion,2.9744085324929235,new
30,3,1,evening,mobile,fashion,0.7275789672090298,sale
38,31,0,afternoon,desktop,food,2.4175455707850384,new
2,40,0,morning,tablet,fashion,4.245635928474478,discount
64,37,0,morning,tablet,food,4.125419624135039,sale
60,36,0,night,mobile,sports,1.5094335148408682,new
21,24,0,night,desktop,tech,1.517355819547532,sale
33,31,0,evening,desktop,tech,4.177873904959565,discount
76,6,0,night,tablet,tech,4.686792890761965,discount
58,2,0,night,tablet,tech,0.929124145728516,new
22,20,1,night,desktop,food,2.5252638774180136,sale
89,28,1,morning,mobile,food,2.0185442553390303,new
49,11,0,morning,tablet,fashion,4.418098049558477,new
91,4,0,morning,mobile,food,0.8758621160600845,sale
59,15,0,night,mobile,fashion,1.4500667415111683,new
42,6,0,morning,tablet,fashion,3.8861075191392245,discount
92,49,0,night,mobile,tech,0.7308223204154701,sale
60,30,0,morning,mobile,food,2.716409213214302,sale
80,38,0,morning,desktop,food,2.4894816560587403,sale
15,2,1,afternoon,mobile,fashion,2.004805305449369,sale
62,15,0,evening,desktop,fashion,2.275575418935157,new
62,11,0,night,tablet,sports,2.8847326411860483,new
47,8,0,afternoon,tablet,sports,1.226153112747724,discount
62,26,0,morning,desktop,fashion,3.0739814522761675,offer
51,45,0,night,tablet,sports,4.124445481849938,offer
55,44,1,morning,mobile,sports,3.9207241840557154,discount
64,5,0,evening,mobile,fashion,1.1925495711219816,offer
3,6,1,afternoon,mobile,fashion,1.1716226138366326,discount
51,26,0,evening,tablet,food,1.70678465485211,new
7,4,0,afternoon,mobile,fashion,2.1248362685346676,sale
21,19,0,morning,tablet,fashion,2.338050116338172,sale
73,20,0,evening,mobile,tech,3.5586374757500536,new
39,33,1,evening,desktop,food,0.7550619447462593,sale
18,20,1,morning,tablet,food,0.6560271690172987,sale
4,49,0,evening,tablet,food,2.263597533247591,offer
89,12,0,night,mobile,tech,3.637236614620912,new
60,47,0,afternoon,tablet,fashion,1.3704590433041717,offer
14,1,1,afternoon,tablet,food,3.386770165653133,offer
9,26,0,afternoon,desktop,food,1.6692266207313475,sale
90,14,0,night,desktop,sports,4.487387489660824,sale
